dataset,split,preprocessing,experiment,model,artefact,variant,train_set,eval_set,seed,attack,decision_rule,metric,output_file
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,LSTM,torch net,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,GRU,torch net,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,CNN-LSTM,torch net,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",model_comparison,TabNet,pytorch-tabnet,clean,capped 25k/class (~200k),FULL test 367k,42,none,argmax,macro-F1 etc,model_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,XGBoost,sklearn,clean,capped 25k/class (seed 0),FULL test 367k,0,none,argmax,macro-F1=0.9587,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,XGBoost,sklearn,clean,capped 25k/class (seed 1),FULL test 367k,1,none,argmax,macro-F1=0.9576,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,XGBoost,sklearn,clean,capped 25k/class (seed 2),FULL test 367k,2,none,argmax,macro-F1=0.9696,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,XGBoost,sklearn,clean,capped 25k/class (seed 3),FULL test 367k,3,none,argmax,macro-F1=0.9683,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,XGBoost,sklearn,clean,capped 25k/class (seed 4),FULL test 367k,4,none,argmax,macro-F1=0.9579,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,RandomForest,sklearn,clean,capped 25k/class (seed 0),FULL test 367k,0,none,argmax,macro-F1=0.9655,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,RandomForest,sklearn,clean,capped 25k/class (seed 1),FULL test 367k,1,none,argmax,macro-F1=0.9614,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,RandomForest,sklearn,clean,capped 25k/class (seed 2),FULL test 367k,2,none,argmax,macro-F1=0.9641,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,RandomForest,sklearn,clean,capped 25k/class (seed 3),FULL test 367k,3,none,argmax,macro-F1=0.9624,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,RandomForest,sklearn,clean,capped 25k/class (seed 4),FULL test 367k,4,none,argmax,macro-F1=0.9664,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,MLP (sklearn),sklearn MLPClassifier,clean,capped 25k/class (seed 0),FULL test 367k,0,none,argmax,macro-F1=0.9085,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,MLP (sklearn),sklearn MLPClassifier,clean,capped 25k/class (seed 1),FULL test 367k,1,none,argmax,macro-F1=0.9405,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,MLP (sklearn),sklearn MLPClassifier,clean,capped 25k/class (seed 2),FULL test 367k,2,none,argmax,macro-F1=0.9394,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,MLP (sklearn),sklearn MLPClassifier,clean,capped 25k/class (seed 3),FULL test 367k,3,none,argmax,macro-F1=0.906,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,MLP (sklearn),sklearn MLPClassifier,clean,capped 25k/class (seed 4),FULL test 367k,4,none,argmax,macro-F1=0.9105,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,DNN,torch net,clean,capped 25k/class (seed 0),FULL test 367k,0,none,argmax,macro-F1=0.9125,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,DNN,torch net,clean,capped 25k/class (seed 1),FULL test 367k,1,none,argmax,macro-F1=0.9254,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,DNN,torch net,clean,capped 25k/class (seed 2),FULL test 367k,2,none,argmax,macro-F1=0.9113,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,DNN,torch net,clean,capped 25k/class (seed 3),FULL test 367k,3,none,argmax,macro-F1=0.9242,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,DNN,torch net,clean,capped 25k/class (seed 4),FULL test 367k,4,none,argmax,macro-F1=0.9068,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,1D-CNN,torch net,clean,capped 25k/class (seed 0),FULL test 367k,0,none,argmax,macro-F1=0.9117,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,1D-CNN,torch net,clean,capped 25k/class (seed 1),FULL test 367k,1,none,argmax,macro-F1=0.8986,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,1D-CNN,torch net,clean,capped 25k/class (seed 2),FULL test 367k,2,none,argmax,macro-F1=0.881,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,1D-CNN,torch net,clean,capped 25k/class (seed 3),FULL test 367k,3,none,argmax,macro-F1=0.9217,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",multiseed_ci,1D-CNN,torch net,clean,capped 25k/class (seed 4),FULL test 367k,4,none,argmax,macro-F1=0.9307,multiseed_ci_rows.csv / multiseed_ci.csv / multiseed_stats.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,MLP (torch),torch net,plain,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,MLP (torch),torch net,hardened,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,DNN,torch net,plain,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,DNN,torch net,hardened,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,1D-CNN,torch net,plain,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",robustness_comparison,1D-CNN,torch net,hardened,capped 25k/class,clean: FULL test; evasion: capped 2k/class+15k benign,42,"FGSM & PGD, L-inf, eps in {0..0.3}, PGD 10 steps a=eps/4, untargeted, 0 restarts (white-box on the net)",argmax,clean macro-F1 + FGSM/PGD evasion@0.1,robustness_comparison.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",two_tier_clean,XGBoost,full-data XGBoost.pkl,clean/hardened,FULL 1.10M,FULL test 367k,42,none,argmax (+OR fusion for two-tier),macro-F1/balAcc/FPR,two_tier_clean.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",two_tier_clean,hardened-DNN,full-data dnn_hardened.pt,clean/hardened,FULL 1.10M,FULL test 367k,42,none,argmax (+OR fusion for two-tier),macro-F1/balAcc/FPR,two_tier_clean.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",two_tier_clean,two-tier,"XGBoost + hardened-DNN, OR-fusion",clean/hardened,FULL 1.10M,FULL test 367k,42,none,argmax (+OR fusion for two-tier),macro-F1/balAcc/FPR,two_tier_clean.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",two_tier_robustness,two-tier (XGBoost+hardened-DNN),deployed two-tier,under attack,FULL 1.10M,capped 2k/class attack + 15k benign,0,"PGD crafted on the hardened DNN (L-inf, 10 steps, a=eps/4, untargeted); eps in {0,0.02,0.05,0.1,0.15,0.2,0.3}; XGBoost hit by transfer",argmax + OR fusion,evasion(DNN / XGB-transfer / two-tier),two_tier_robustness.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",stronger_dnn_attack,two-tier (XGBoost+hardened-DNN),deployed two-tier,under attack,FULL 1.10M,300/class attack flows (seed 0),0,"stronger DNN-targeted PGD: L-inf, 50 steps, a=eps/10, 5 random restarts, untargeted; joint-evasion criterion (both tiers benign); eps in {0.05,0.1,0.2}",argmax + OR fusion,two-tier evasion vs transfer,adaptive_ensemble_attack.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",detection_layer,rule layer (PortScan/DDoS/BruteForce signatures),rules + deployed two-tier,clean,FULL (deployed models),FULL test raw 367k,42,none,rule thresholds on raw features + argmax + OR fusion,precision/recall/macro-F1,detection_rules.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",detection_layer,full engine (rules + two-tier AI),rules + deployed two-tier,clean,FULL (deployed models),FULL test raw 367k,42,none,rule thresholds on raw features + argmax + OR fusion,precision/recall/macro-F1,detection_engine.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",rare_class_attempted,full engine,rules + deployed two-tier,clean,FULL,"FULL test raw, split by is_attempted flag (metadata, not a feature)",42,none,argmax + OR fusion,detection rate: successful vs attempted (+counts),rare_class_attempted.csv
"corrected CICIDS2017 (Engelen et al., WTMC 2021), 8-class",leakage-free StratifiedGroupKFold on 2-sig-fig flow fingerprint; 60/20/20 (train 1.10M / val 367k / test 367k),"RobustScaler fit on train + clip(+/-10); 83->66 features (drop zero-var + one of each |corr|>0.98, on train)",deployment_latency,two-tier inference / full engine / engine+adapter,deployed,timing,n/a,test flows (warm-up 512 then 500 single-flow / batched),n/a,none,n/a,single-flow p50/p90/p99 + batched throughput; Intel i7 16c 17GB CPU-only,deployment_latency.csv / deployment_throughput.csv / deployment_hardware.txt
